NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_SPECIES_GO:0000335_NEGATIVE_REGULATION_OF_TRANSPOSITION,_D-MEDIATED	5		Rejected!	
GOBP_SPECIES_GO:0000337_REGULATION_OF_TRANSPOSITION,_D-MEDIATED	5		Rejected!	
GOBP_SPECIES_GO:0000338_PROTEIN_DENEDDYLATION	22	15		
GOBP_SPECIES_GO:0000349_GENERATION_OF_CATALYTIC_SPLICEOSOME_FOR_FIRST_TRANSESTERIFICATION_STEP	5		Rejected!	
GOBP_SPECIES_GO:0000350_GENERATION_OF_CATALYTIC_SPLICEOSOME_FOR_SECOND_TRANSESTERIFICATION_STEP	2		Rejected!	
GOBP_SPECIES_GO:0000375_R_SPLICING,_VIA_TRANSESTERIFICATION_REACTIONS	486	324		
GOBP_SPECIES_GO:0000377_R_SPLICING,_VIA_TRANSESTERIFICATION_REACTIONS_WITH_BULGED_ADENOSINE_AS_NUCLEOPHILE	486	324		
GOBP_SPECIES_GO:0000379_TR-TYPE_INTRON_SPLICE_SITE_RECOGNITION_AND_CLEAVAGE	9		Rejected!	
GOBP_SPECIES_GO:0000380_ALTERNATIVE_MR_SPLICING,_VIA_SPLICEOSOME	209	124		
GOBP_SPECIES_GO:0000381_REGULATION_OF_ALTERNATIVE_MR_SPLICING,_VIA_SPLICEOSOME	208	123		
GOBP_SPECIES_GO:0000387_SPLICEOSOMAL_SNRNP_ASSEMBLY	29	27		
GOBP_SPECIES_GO:0000388_SPLICEOSOME_CONFORMATIONAL_CHANGE_TO_RELEASE_U4_(OR_U4ATAC)_AND_U1_(OR_U11)	5		Rejected!	
GOBP_SPECIES_GO:0000389_MR_3	3		Rejected!	
GOBP_SPECIES_GO:0000390_SPLICEOSOMAL_COMPLEX_DISASSEMBLY	15		Rejected!	
GOBP_SPECIES_GO:0000393_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION	12		Rejected!	
GOBP_SPECIES_GO:0000394_R_SPLICING,_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION	13		Rejected!	
GOBP_SPECIES_GO:0000395_MR_5	11		Rejected!	
GOBP_SPECIES_GO:0000398_MR_SPLICING,_VIA_SPLICEOSOME	486	324		
GOBP_SPECIES_GO:0000413_PROTEIN_PEPTIDYL-PROLYL_ISOMERIZATION	39	30		
GOBP_SPECIES_GO:0000422_AUTOPHAGY_OF_MITOCHONDRION	71	53		
GOBP_SPECIES_GO:0000423_MITOPHAGY	7		Rejected!	
GOBP_SPECIES_GO:0000447_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU-RR_FROM_5.8S_RR_AND_LSU-RR_FROM_TRICISTRONIC_RR_TRANSCRIPT_(SSU-RR,_5.8S_RR,_LSU-RR)	7		Rejected!	
GOBP_SPECIES_GO:0000448_CLEAVAGE_IN_ITS2_BETWEEN_5.8S_RR_AND_LSU-RR_OF_TRICISTRONIC_RR_TRANSCRIPT_(SSU-RR,_5.8S_RR,_LSU-RR)	3		Rejected!	
GOBP_SPECIES_GO:0000451_RR_2	5		Rejected!	
GOBP_SPECIES_GO:0000453_ENZYME-DIRECTED_RR_2	4		Rejected!	
GOBP_SPECIES_GO:0000455_ENZYME-DIRECTED_RR_PSEUDOURIDINE_SYNTHESIS	4		Rejected!	
GOBP_SPECIES_GO:0000459_EXONUCLEOLYTIC_TRIMMING_INVOLVED_IN_RR_PROCESSING	8		Rejected!	
GOBP_SPECIES_GO:0000460_MATURATION_OF_5.8S_RR	40	35		
GOBP_SPECIES_GO:0000461_ENDONUCLEOLYTIC_CLEAVAGE_TO_GENERATE_MATURE_3	4		Rejected!	
GOBP_SPECIES_GO:0000462_MATURATION_OF_SSU-RR_FROM_TRICISTRONIC_RR_TRANSCRIPT_(SSU-RR,_5.8S_RR,_LSU-RR)	36	32		
GOBP_SPECIES_GO:0000463_MATURATION_OF_LSU-RR_FROM_TRICISTRONIC_RR_TRANSCRIPT_(SSU-RR,_5.8S_RR,_LSU-RR)	26	24		
GOBP_SPECIES_GO:0000466_MATURATION_OF_5.8S_RR_FROM_TRICISTRONIC_RR_TRANSCRIPT_(SSU-RR,_5.8S_RR,_LSU-RR)	28	24		
GOBP_SPECIES_GO:0000467_EXONUCLEOLYTIC_TRIMMING_TO_GENERATE_MATURE_3	9		Rejected!	
GOBP_SPECIES_GO:0000469_CLEAVAGE_INVOLVED_IN_RR_PROCESSING	31	28		
GOBP_SPECIES_GO:0000470_MATURATION_OF_LSU-RR	45	42		
GOBP_SPECIES_GO:0000472_ENDONUCLEOLYTIC_CLEAVAGE_TO_GENERATE_MATURE_5	6		Rejected!	
GOBP_SPECIES_GO:0000478_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RR_PROCESSING	18	15		
GOBP_SPECIES_GO:0000479_ENDONUCLEOLYTIC_CLEAVAGE_OF_TRICISTRONIC_RR_TRANSCRIPT_(SSU-RR,_5.8S_RR,_LSU-RR)	18	15		
GOBP_SPECIES_GO:0000480_ENDONUCLEOLYTIC_CLEAVAGE_IN_5	6		Rejected!	
GOBP_SPECIES_GO:0000481_MATURATION_OF_5S_RR	2		Rejected!	
GOBP_SPECIES_GO:0000491_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY	8		Rejected!	
GOBP_SPECIES_GO:0000492_BOX_C/D_SNORNP_ASSEMBLY	6		Rejected!	
GOBP_SPECIES_GO:0000493_BOX_H/ACA_SNORNP_ASSEMBLY	2		Rejected!	
GOBP_SPECIES_GO:0000494_BOX_C/D_R_3	6		Rejected!	
GOBP_SPECIES_GO:0000578_EMBRYONIC_AXIS_SPECIFICATION	358	204		
GOBP_SPECIES_GO:0000705_ACHIASMATE_MEIOSIS_I	3		Rejected!	
GOBP_SPECIES_GO:0000706_MEIOTIC_D_DOUBLE-STRAND_BREAK_PROCESSING	13		Rejected!	
GOBP_SPECIES_GO:0000707_MEIOTIC_D_RECOMBINASE_ASSEMBLY	3		Rejected!	
GOBP_SPECIES_GO:0000710_MEIOTIC_MISMATCH_REPAIR	7		Rejected!	
GOBP_SPECIES_GO:0000711_MEIOTIC_D_REPAIR_SYNTHESIS	3		Rejected!	
GOBP_SPECIES_GO:0000712_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	14		Rejected!	
GOBP_SPECIES_GO:0000715_NUCLEOTIDE-EXCISION_REPAIR,_D_DAMAGE_RECOGNITION	4		Rejected!	
GOBP_SPECIES_GO:0000717_NUCLEOTIDE-EXCISION_REPAIR,_D_DUPLEX_UNWINDING	5		Rejected!	
GOBP_SPECIES_GO:0000722_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	3		Rejected!	
GOBP_SPECIES_GO:0000723_TELOMERE_MAINTENANCE	67	46		
GOBP_SPECIES_GO:0000724_DOUBLE-STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	131	82		
GOBP_SPECIES_GO:0000725_RECOMBINATIONAL_REPAIR	131	82		
GOBP_SPECIES_GO:0000727_DOUBLE-STRAND_BREAK_REPAIR_VIA_BREAK-INDUCED_REPLICATION	17		Rejected!	
GOBP_SPECIES_GO:0000729_D_DOUBLE-STRAND_BREAK_PROCESSING	13		Rejected!	
GOBP_SPECIES_GO:0000730_D_RECOMBINASE_ASSEMBLY	8		Rejected!	
GOBP_SPECIES_GO:0000731_D_SYNTHESIS_INVOLVED_IN_D_REPAIR	22	17		
GOBP_SPECIES_GO:0000732_STRAND_DISPLACEMENT	6		Rejected!	
GOBP_SPECIES_GO:0000737_D_CATABOLIC_PROCESS,_ENDONUCLEOLYTIC	32	20		
GOBP_SPECIES_GO:0000738_D_CATABOLIC_PROCESS,_EXONUCLEOLYTIC	15		Rejected!	
GOBP_SPECIES_GO:0000741_KARYOGAMY	20		Rejected!	
GOBP_SPECIES_GO:0000768_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION	134	75		
GOBP_SPECIES_GO:0000819_SISTER_CHROMATID_SEGREGATION	246	146		
GOBP_SPECIES_GO:0000820_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	7		Rejected!	
GOBP_SPECIES_GO:0000902_CELL_MORPHOGENESIS	1672		Rejected!	
GOBP_SPECIES_GO:0000904_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	1476		Rejected!	
GOBP_SPECIES_GO:0000910_CYTOKINESIS	307	173		
GOBP_SPECIES_GO:0000912_ASSEMBLY_OF_ACTOMYOSIN_APPARATUS_INVOLVED_IN_CYTOKINESIS	63	26		
GOBP_SPECIES_GO:0000915_ACTOMYOSIN_CONTRACTILE_RING_ASSEMBLY	56	21		
GOBP_SPECIES_GO:0000916_ACTOMYOSIN_CONTRACTILE_RING_CONTRACTION	30	18		
GOBP_SPECIES_GO:0000956_NUCLEAR-TRANSCRIBED_MR_CATABOLIC_PROCESS	159	95		
GOBP_SPECIES_GO:0000957_MITOCHONDRIAL_R_CATABOLIC_PROCESS	10		Rejected!	
GOBP_SPECIES_GO:0000958_MITOCHONDRIAL_MR_CATABOLIC_PROCESS	10		Rejected!	
GOBP_SPECIES_GO:0000959_MITOCHONDRIAL_R_METABOLIC_PROCESS	53	36		
GOBP_SPECIES_GO:0000963_MITOCHONDRIAL_R_PROCESSING	28	19		
GOBP_SPECIES_GO:0000964_MITOCHONDRIAL_R_5	5		Rejected!	
GOBP_SPECIES_GO:0000965_MITOCHONDRIAL_R_3	15		Rejected!	
GOBP_SPECIES_GO:0000966_R_5	19		Rejected!	
GOBP_SPECIES_GO:0000967_RR_5	6		Rejected!	
GOBP_SPECIES_GO:0000972_TRANSCRIPTION-DEPENDENT_TETHERING_OF_R_POLYMERASE_II_GENE_D_AT_NUCLEAR_PERIPHERY	7		Rejected!	
GOBP_SPECIES_GO:0000973_POST-TRANSCRIPTIONAL_TETHERING_OF_R_POLYMERASE_II_GENE_D_AT_NUCLEAR_PERIPHERY	2		Rejected!	
GOBP_SPECIES_GO:0001015_SNOR_TRANSCRIPTION_BY_R_POLYMERASE_II	2		Rejected!	
GOBP_SPECIES_GO:0001101_RESPONSE_TO_ACID_CHEMICAL	47	34		
GOBP_SPECIES_GO:0001109_PROMOTER_CLEARANCE_DURING_D-TEMPLATED_TRANSCRIPTION	15		Rejected!	
GOBP_SPECIES_GO:0001111_PROMOTER_CLEARANCE_FROM_R_POLYMERASE_II_PROMOTER	15		Rejected!	
GOBP_SPECIES_GO:0001112_D-TEMPLATED_TRANSCRIPTION_OPEN_COMPLEX_FORMATION	14		Rejected!	
GOBP_SPECIES_GO:0001113_TRANSCRIPTION_OPEN_COMPLEX_FORMATION_AT_R_POLYMERASE_II_PROMOTER	14		Rejected!	
GOBP_SPECIES_GO:0001120_PROTEIN-D_COMPLEX_REMODELING	14		Rejected!	
GOBP_SPECIES_GO:0001173_D-TEMPLATED_TRANSCRIPTIONAL_START_SITE_SELECTION	27		Rejected!	
GOBP_SPECIES_GO:0001174_TRANSCRIPTIONAL_START_SITE_SELECTION_AT_R_POLYMERASE_II_PROMOTER	27		Rejected!	
GOBP_SPECIES_GO:0001178_REGULATION_OF_TRANSCRIPTIONAL_START_SITE_SELECTION_AT_R_POLYMERASE_II_PROMOTER	23		Rejected!	
GOBP_SPECIES_GO:0001188_R_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	2		Rejected!	
GOBP_SPECIES_GO:0001192_MAINTENANCE_OF_TRANSCRIPTIONAL_FIDELITY_DURING_D-TEMPLATED_TRANSCRIPTION_ELONGATION	2		Rejected!	
GOBP_SPECIES_GO:0001193_MAINTENANCE_OF_TRANSCRIPTIONAL_FIDELITY_DURING_D-TEMPLATED_TRANSCRIPTION_ELONGATION_FROM_R_POLYMERASE_II_PROMOTER	2		Rejected!	
GOBP_SPECIES_GO:0001325_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_D	7		Rejected!	
GOBP_SPECIES_GO:0001408_GUANINE_NUCLEOTIDE_TRANSPORT	5		Rejected!	
GOBP_SPECIES_GO:0001504_NEUROTRANSMITTER_UPTAKE	20	17		
GOBP_SPECIES_GO:0001505_REGULATION_OF_NEUROTRANSMITTER_LEVELS	284	184		
GOBP_SPECIES_GO:0001507_ACETYLCHOLINE_CATABOLIC_PROCESS_IN_SYNAPTIC_CLEFT	2		Rejected!	
GOBP_SPECIES_GO:0001508_ACTION_POTENTIAL	30		Rejected!	
GOBP_SPECIES_GO:0001510_R_METHYLATION	81	65		
GOBP_SPECIES_GO:0001516_PROSTAGLANDIN_BIOSYNTHETIC_PROCESS	2		Rejected!	
GOBP_SPECIES_GO:0001522_PSEUDOURIDINE_SYNTHESIS	21	20		
GOBP_SPECIES_GO:0001523_RETINOID_METABOLIC_PROCESS	25	17		
GOBP_SPECIES_GO:0001539_CILIUM_OR_FLAGELLUM-DEPENDENT_CELL_MOTILITY	98	74		
GOBP_SPECIES_GO:0001555_OOCYTE_GROWTH	6		Rejected!	
GOBP_SPECIES_GO:0001556_OOCYTE_MATURATION	10		Rejected!	
GOBP_SPECIES_GO:0001558_REGULATION_OF_CELL_GROWTH	256	137		
GOBP_SPECIES_GO:0001561_FATTY_ACID_ALPHA-OXIDATION	4		Rejected!	
GOBP_SPECIES_GO:0001562_RESPONSE_TO_PROTOZOAN	9		Rejected!	
GOBP_SPECIES_GO:0001578_MICROTUBULE_BUNDLE_FORMATION	136	104		
GOBP_SPECIES_GO:0001580_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_BITTER_TASTE	10		Rejected!	
GOBP_SPECIES_GO:0001582_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_SWEET_TASTE	19		Rejected!	
GOBP_SPECIES_GO:0001583_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_SALTY_TASTE	2		Rejected!	
GOBP_SPECIES_GO:0001654_EYE_DEVELOPMENT	1251		Rejected!	
GOBP_SPECIES_GO:0001655_UROGENITAL_SYSTEM_DEVELOPMENT	209	133		
GOBP_SPECIES_GO:0001659_TEMPERATURE_HOMEOSTASIS	14		Rejected!	
GOBP_SPECIES_GO:0001661_CONDITIONED_TASTE_AVERSION	3		Rejected!	
GOBP_SPECIES_GO:0001666_RESPONSE_TO_HYPOXIA	155	110		
GOBP_SPECIES_GO:0001667_AMEBOIDAL-TYPE_CELL_MIGRATION	564	339		
GOBP_SPECIES_GO:0001675_ACROSOME_ASSEMBLY	2		Rejected!	
GOBP_SPECIES_GO:0001676_LONG-CHAIN_FATTY_ACID_METABOLIC_PROCESS	45	33		
GOBP_SPECIES_GO:0001678_CELLULAR_GLUCOSE_HOMEOSTASIS	17		Rejected!	
GOBP_SPECIES_GO:0001682_TR_5	10		Rejected!	
GOBP_SPECIES_GO:0001692_HISTAMINE_METABOLIC_PROCESS	11		Rejected!	
GOBP_SPECIES_GO:0001694_HISTAMINE_BIOSYNTHETIC_PROCESS	8		Rejected!	
GOBP_SPECIES_GO:0001700_EMBRYONIC_DEVELOPMENT_VIA_THE_SYNCYTIAL_BLASTODERM	503	298		
GOBP_SPECIES_GO:0001703_GASTRULATION_WITH_MOUTH_FORMING_FIRST	137	89		
GOBP_SPECIES_GO:0001704_FORMATION_OF_PRIMARY_GERM_LAYER	78	64		
GOBP_SPECIES_GO:0001705_ECTODERM_FORMATION	9		Rejected!	
GOBP_SPECIES_GO:0001706_ENDODERM_FORMATION	17	16		
GOBP_SPECIES_GO:0001707_MESODERM_FORMATION	56	43		
GOBP_SPECIES_GO:0001708_CELL_FATE_SPECIFICATION	301	168		
GOBP_SPECIES_GO:0001709_CELL_FATE_DETERMINATION	357	223		
GOBP_SPECIES_GO:0001710_MESODERMAL_CELL_FATE_COMMITMENT	29	23		
GOBP_SPECIES_GO:0001711_ENDODERMAL_CELL_FATE_COMMITMENT	8		Rejected!	
GOBP_SPECIES_GO:0001712_ECTODERMAL_CELL_FATE_COMMITMENT	9		Rejected!	
GOBP_SPECIES_GO:0001713_ECTODERMAL_CELL_FATE_DETERMINATION	4		Rejected!	
GOBP_SPECIES_GO:0001714_ENDODERMAL_CELL_FATE_SPECIFICATION	6		Rejected!	
GOBP_SPECIES_GO:0001715_ECTODERMAL_CELL_FATE_SPECIFICATION	5		Rejected!	
GOBP_SPECIES_GO:0001731_FORMATION_OF_TRANSLATION_PREINITIATION_COMPLEX	21		Rejected!	
GOBP_SPECIES_GO:0001732_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX	29	20		
GOBP_SPECIES_GO:0001736_ESTABLISHMENT_OF_PLANAR_POLARITY	280	159		
GOBP_SPECIES_GO:0001737_ESTABLISHMENT_OF_IMAGINAL_DISC-DERIVED_WING_HAIR_ORIENTATION	104	61		
GOBP_SPECIES_GO:0001738_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM	300	169		
GOBP_SPECIES_GO:0001742_OENOCYTE_DIFFERENTIATION	42	22		
GOBP_SPECIES_GO:0001744_INSECT_VISUAL_PRIMORDIUM_FORMATION	9		Rejected!	
GOBP_SPECIES_GO:0001745_COMPOUND_EYE_MORPHOGENESIS	1003		Rejected!	
GOBP_SPECIES_GO:0001746_BOLWIG	28	18		
GOBP_SPECIES_GO:0001748_INSECT_VISUAL_PRIMORDIUM_DEVELOPMENT	19	15		
GOBP_SPECIES_GO:0001751_COMPOUND_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	701	398		
GOBP_SPECIES_GO:0001752_COMPOUND_EYE_PHOTORECEPTOR_FATE_COMMITMENT	283	157		
GOBP_SPECIES_GO:0001754_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	714	409		
GOBP_SPECIES_GO:0001762_BETA-ALANINE_TRANSPORT	3		Rejected!	
GOBP_SPECIES_GO:0001763_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	209	134		
GOBP_SPECIES_GO:0001764_NEURON_MIGRATION	40	26		
GOBP_SPECIES_GO:0001775_CELL_ACTIVATION	26	20		
GOBP_SPECIES_GO:0001816_CYTOKINE_PRODUCTION	27		Rejected!	
GOBP_SPECIES_GO:0001817_REGULATION_OF_CYTOKINE_PRODUCTION	26		Rejected!	
GOBP_SPECIES_GO:0001818_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	10		Rejected!	
GOBP_SPECIES_GO:0001819_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	11		Rejected!	
GOBP_SPECIES_GO:0001836_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	3		Rejected!	
GOBP_SPECIES_GO:0001837_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	8		Rejected!	
GOBP_SPECIES_GO:0001838_EMBRYONIC_EPITHELIAL_TUBE_FORMATION	8		Rejected!	
GOBP_SPECIES_GO:0001845_PHAGOLYSOSOME_ASSEMBLY	11		Rejected!	
GOBP_SPECIES_GO:0001867_COMPLEMENT_ACTIVATION,_LECTIN_PATHWAY	2		Rejected!	
GOBP_SPECIES_GO:0001868_REGULATION_OF_COMPLEMENT_ACTIVATION,_LECTIN_PATHWAY	2		Rejected!	
GOBP_SPECIES_GO:0001878_RESPONSE_TO_YEAST	11		Rejected!	
GOBP_SPECIES_GO:0001879_DETECTION_OF_YEAST	11		Rejected!	
GOBP_SPECIES_GO:0001881_RECEPTOR_RECYCLING	30	21		
GOBP_SPECIES_GO:0001885_ENDOTHELIAL_CELL_DEVELOPMENT	2		Rejected!	
GOBP_SPECIES_GO:0001894_TISSUE_HOMEOSTASIS	170	112		
GOBP_SPECIES_GO:0001895_RETINA_HOMEOSTASIS	39	24		
GOBP_SPECIES_GO:0001906_CELL_KILLING	4		Rejected!	
GOBP_SPECIES_GO:0001919_REGULATION_OF_RECEPTOR_RECYCLING	18		Rejected!	
GOBP_SPECIES_GO:0001920_NEGATIVE_REGULATION_OF_RECEPTOR_RECYCLING	7		Rejected!	
GOBP_SPECIES_GO:0001921_POSITIVE_REGULATION_OF_RECEPTOR_RECYCLING	10		Rejected!	
GOBP_SPECIES_GO:0001932_REGULATION_OF_PROTEIN_PHOSPHORYLATION	260	153		
GOBP_SPECIES_GO:0001933_NEGATIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION	66	40		
GOBP_SPECIES_GO:0001934_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION	162	87		
GOBP_SPECIES_GO:0001941_POSTSYNAPTIC_MEMBRANE_ORGANIZATION	34	19		
GOBP_SPECIES_GO:0001952_REGULATION_OF_CELL-MATRIX_ADHESION	34		Rejected!	
GOBP_SPECIES_GO:0001953_NEGATIVE_REGULATION_OF_CELL-MATRIX_ADHESION	3		Rejected!	
GOBP_SPECIES_GO:0001954_POSITIVE_REGULATION_OF_CELL-MATRIX_ADHESION	17		Rejected!	
GOBP_SPECIES_GO:0001956_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	20		Rejected!	
GOBP_SPECIES_GO:0001959_REGULATION_OF_CYTOKINE-MEDIATED_SIGNALING_PATHWAY	40	28		
GOBP_SPECIES_GO:0001960_NEGATIVE_REGULATION_OF_CYTOKINE-MEDIATED_SIGNALING_PATHWAY	8		Rejected!	
